"""Number of Youth by Income Category""", "Number of Youth at Start" , "Number of Youth at Annual Assessment (Stayers)" , "Number of Youth at Exit (Leavers)"
"""Youth with Only Earned Income (ie.e, Employment Income)""",5,0,0
"""Youth with Only Other Income""",2,0,0
"""Youth with Both Earned and Other Income""",2,0,0
"""Youth with No Income""",6,0,0
"""Youth with Client Doesn't Know/Client Refused Income Information""",0,0,0
"""Youth with Missing Income Information""",4,0,1
"""Number of Youth Stayers not yet Required to Have an Annual Assessment""",0,14,0
"""Number of Youth Stayers without Required Annual Assessment""",0,4,0
"""Total Youth""",19,18,1
"""1 or More Source of Income""",10,0,0
"""Youth with Income Information at Start and Annual Assessment/Exit""",0,0,0
