"Organization Name" , "Organization ID" , "Project Name" , "Project ID" , "HMIS Project Type" , "Method for Tracking ES" , "Affiliated with a residential project" , "Project IDs of affiliations" , "CoC Number" , "Geocode" , "Victim Service Provider" , "HMIS Software Name" , "Report Start Date" , "Report End Date"
"Future Generations Rural America (closed)","1394","zFuture Generations: SSVF Prevention Rockingham (closed)",1395,"12",,,"","VA-513",,0,"ServicePoint",2018-06-01,2018-06-30
"Central Intake - Parent","1300","Diversion",1447,"6",,0,"",,,0,"ServicePoint",2018-06-01,2018-06-30
"Homeward","2","Saint Stephen's Community Development Center: Outreach",1197,,,,"",,,0,"ServicePoint",2018-06-01,2018-06-30
"Mercy House Parent","1286","Mercy House COVID Vouchers ESG-CV 1-1-20 to 9-30-2022",1987,"1",0,,"","VA-513","510726",0,"ServicePoint",2018-06-01,2018-06-30
"Strength in Peers  PARENT","1531","ARCH Prev - SSVF Strength in Peers/Future Gen. (Closed)",1533,"12",,,"","VA-513","510726",0,"ServicePoint",2018-06-01,2018-06-30
"Family Promise of Shenandoah","1628","Family Promise TH",1986,"2",,,"","VA-513","519171",0,"ServicePoint",2018-06-01,2018-06-30
,,"People Helping People",1328,,,,"",,,0,"ServicePoint",2018-06-01,2018-06-30
"Harrisonburg Community Health Center-Valley AIDS Network(VAN) - Western CoC","1449","ARE - Ryan White RRH",1608,"6",,0,"","VA-513",,0,"ServicePoint",2018-06-01,2018-06-30
,,"HRHA Parent",1537,"7",,,"",,,0,"ServicePoint",2018-06-01,2018-06-30
"Western Virginia CoC - BFZ","1183","Shenandoah Alliance Hotel/Motel Vouchers CDBG",2049,"1",0,,"","VA-513","519171",0,"ServicePoint",2018-06-01,2018-06-30
"Mercy House Parent","1286","Mercy House Z: Rapid Rehousing NAEH (closed)",1294,"13",,,"","VA-513","510726",0,"ServicePoint",2018-06-01,2018-06-30
"Western Virginia CoC - BFZ","1183","Goodwill Winchester Vouchers DHCD/VHSP CDBG",2041,"1",0,,"","VA-513","511674",0,"ServicePoint",2018-06-01,2018-06-30
