, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",140,103,37,0,0
"""Transitional housing for homeless persons (including homeless youth)""",1,1,0,0,0
"""Place not meant for human habitation""",145,125,20,0,0
"""Safe Haven""",2,2,0,0,0
"""Host Home""",0,0,0,0,0
"""Subtotal""",288,231,57,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",0,0,0,0,0
"""Substance abuse treatment facility or detox center""",2,2,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",7,7,0,0,0
"""Jail, prison or juvenile detention facility""",12,12,0,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",1,1,0,0,0
"""Subtotal""",22,22,0,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",0,0,0,0,0
"""Owned by client, no ongoing housing subsidy""",9,9,0,0,0
"""Owned by client, with ongoing housing subsidy""",0,0,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Rental by client, no ongoing housing subsidy""",204,169,35,0,0
"""Rental by client, with VASH housing subsidy""",0,0,0,0,0
"""Rental by client, with GPD TIP housing subsidy""",0,0,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",8,6,2,0,0
"""Hotel or motel paid for without emergency shelter voucher""",52,40,10,0,2
"""Staying or living in a friend''s room, apartment or house""",54,47,7,0,0
"""Staying or living in a family member''s room, apartment or house""",69,53,16,0,0
"""Client Doesn''t Know/Client Refused""",2,2,0,0,0
"""Data not collected""",16,15,1,0,0
"""Subtotal""",414,341,71,0,2
"""Total""",724,594,128,0,2
