, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Permanent Destinations""",,,,,
"""Moved from one HOPWA funded project to HOPWA PH""",0,0,0,0,0
"""Owned by client, no ongoing subsidy""",2,2,0,0,0
"""Owned by client, with ongoing subsidy""",1,1,0,0,0
"""Rental by client, no ongoing subsidy""",150,69,81,0,0
"""Rental by client, with VASH subsidy""",0,0,0,0,0
"""Rental by client, with GPD TIP subsidy""",0,0,0,0,0
"""Rental by client, other ongoing subsidy""",8,2,6,0,0
"""Permanent housing (other than RRH) for formerly homeless persons""",0,0,0,0,0
"""Staying or living with family, permanent tenure""",6,1,5,0,0
"""Staying or living with friends, permanent tenure""",3,3,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",8,2,6,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Subtotal""",178,80,98,0,0
"""Temporary Destinations""",,,,,
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",25,16,9,0,0
"""Moved from one HOPWA funded project to HOPWA TH""",0,0,0,0,0
"""Transitional housing for homeless persons (including homeless youth)""",2,2,0,0,0
"""Staying or living with family, temporary tenure""",36,27,9,0,0
"""Staying or living with friends, temporary tenure""",43,35,8,0,0
"""Place not meant for human habitation""",35,30,5,0,0
"""Safe Haven""",0,0,0,0,0
"""Hotel or motel, paid by client""",47,25,22,0,0
"""Host Home (non-crisis) """,0,0,0,0,0
"""Subtotal""",188,135,53,0,0
"""Institutional Settings""",,,,,
"""Foster care home or group foster care home""",0,0,0,0,0
"""Psychiatric hospital or other psychiatric facility""",0,0,0,0,0
"""Substance abuse treatment facility or detox center""",1,1,0,0,0
"""Hospital  or other residential non-psychiatric medical facility""",3,3,0,0,0
"""Jail, prison, or juvenile detention facility""",8,7,1,0,0
"""Long-term care facility or nursing home""",1,1,0,0,0
"""Subtotal""",13,12,1,0,0
"""Other Destinations""",,,,,
"""Residential project or halfway house with no homeless criteria""",2,2,0,0,0
"""Deceased""",0,0,0,0,0
"""Other""",2,2,0,0,0
"""Client Doesn't Know/Client Refused""",3,3,0,0,0
"""Data Not Collected (no exit interview completed)""",23,23,0,0,0
"""Subtotal""",30,30,0,0,0
"""Total""",409,257,152,0,0
"""Total persons exiting to positive housing destinations""",39,14,25,0,0
"""Total persons whose destinations excluded them from the calculation""",1,1,0,0,0
"""Percentage""",0.1,0.05,0.16,0.0,0.0
