, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",75,61,19,0,0
"""8 to 14 days""",8,5,3,0,0
"""15 to 21 days""",11,8,3,0,0
"""22 to 30 days""",10,5,5,0,0
"""31 to 60 days""",23,14,9,0,0
"""61 to 180 days""",58,41,17,0,0
"""181 to 365 days""",43,30,13,0,0
"""366-730 days (1-2 years)""",35,35,0,0,0
"""731 days or more""",77,67,10,0,0
"""Total (persons moved into housing)""",345,266,79,0,0
"""Not yet moved into housing""",18,10,8,0,0
"""Data not collected""",31,27,4,0,0
"""Total persons""",394,303,91,0,0
