"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",147,8,11
"""Adults with Only Other Income""",201,36,25
"""Adults with Both Earned and Other Income""",33,0,6
"""Adults with No Income""",530,17,137
"""Adults with Client Doesn't Know/Client Refused Income Information""",2,0,0
"""Adults with Missing Income Information""",19,0,2
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,455,0
"""Number of Adult Stayers without Required Annual Assessment""",0,240,0
"""Total Adults""",937,756,181
"""1 or More Source of Income""",433,45,54
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,61,0
