, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",198,168,30,0,0
"""Transitional housing for homeless persons (including homeless youth)""",4,4,0,0,0
"""Place not meant for human habitation""",330,308,22,0,0
"""Safe Haven""",8,6,2,0,0
"""Host Home""",1,0,1,0,0
"""Subtotal""",541,486,55,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",11,11,0,0,0
"""Substance abuse treatment facility or detox center""",14,14,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",33,33,0,0,0
"""Jail, prison or juvenile detention facility""",30,30,0,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",3,3,0,0,0
"""Subtotal""",91,91,0,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",2,2,0,0,0
"""Owned by client, no ongoing housing subsidy""",9,8,1,0,0
"""Owned by client, with ongoing housing subsidy""",2,2,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",6,2,4,0,0
"""Rental by client in a public housing unit""",1,1,0,0,0
"""Rental by client, no ongoing housing subsidy""",253,169,81,0,3
"""Rental by client, with VASH housing subsidy""",1,0,1,0,0
"""Rental by client, with GPD TIP housing subsidy""",2,2,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",12,8,4,0,0
"""Hotel or motel paid for without emergency shelter voucher""",157,110,45,0,2
"""Staying or living in a friend''s room, apartment or house""",134,106,28,0,0
"""Staying or living in a family member''s room, apartment or house""",141,94,47,0,0
"""Client Doesn''t Know/Client Refused""",21,21,0,0,0
"""Data not collected""",63,37,24,0,2
"""Subtotal""",804,562,235,0,7
"""Total""",1436,1139,290,0,7
