"""Total Number of Persons Served""",1871
"""Number of Adults (age 18 or over)""",1432
"""Number of Children (under age 18)""",425
"""Number of Persons with Unknown Age""",14
"""Number of Leavers""",300
"""Number of Adult Leavers""",225
"""Number of Adult and Head of Household Leavers""",226
"""Number of Stayers""",1571
"""Number of Adult Stayers""",1207
"""Number of Veterans""",79
"""Number of Chronically Homeless Persons""",224
"""Number of Youth Under Age 25""",107
"""Number of Parenting Youth Under Age 25 with Children""",11
"""Number of Adult Heads of Household""",1158
"""Number of Child and Unknown-Age Heads of Household""",4
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",465
